apr,bug,tot_cluster,tot_patch,t_naive,t_uniapr,t_expapr
PlausibleTBar,Math-35,192,2173,87306.10140538216,2211.184451933194,746.4061074756514
PlausibleTBar,Math-4,133,10233,940758.6431195736,11156.57324458285,880.3038613706751
PlausibleTBar,Math-5,4,119,14762.482628583908,109.49631314001633,219.44938759341912
PlausibleTBar,Math-57,18,245,19340.485035419464,698.6053705065099,155.7950048198192
PlausibleTBar,Math-58,11,108,5228.667080402374,286.9861719231147,83.88638274601927
PlausibleTBar,Math-59,1,44,1716.7156031131744,50.59980249214172,7.540838718414307
PlausibleTBar,Math-65,11,320,5105.68935418129,310.39406606101994,70.29048677489025
PlausibleTBar,Math-70,1,202,4447.280057430267,164.12216946411132,3.4317681789398193
PlausibleTBar,Math-75,4,39,484.4516990184784,58.235491192223016,9.350205518961328
PlausibleTBar,Math-77,2,119,772.4583435058594,113.59261322975159,9.376659631729126
PlausibleTBar,Math-79,35,323,3827.1819660663605,400.6269868716219,126.52723673671234
PlausibleTBar,Math-80,25,1102,19349.949293613434,1836.609859200323,385.032685832726
PlausibleTBar,Math-89,2,21,335.4988648891449,27.270250030517577,11.9055832711924
PlausibleTBar,Math-98,7,324,2479.799745082855,300.4725746326447,46.80157336449163
PlausibleTBar,Mockito-38,2,37,503.6042158603668,None,10.69411116715566
PlausibleTBar,Time-7,72,2350,27111.61164999008,1849.6882591535532,392.3798299976723
PlausibleSimFix,Chart-1,115,3364,60037.93375182152,4441.164489434692,902.1944844722748
PlausibleSimFix,Chart-20,54,6074,54678.294229507446,4653.047419179454,1502.107348064851
PlausibleSimFix,Chart-3,64,3686,33520.31892466545,4811.424818593446,449.52432117503974
PlausibleSimFix,Chart-7,50,1328,15315.353812456131,1121.898057454764,282.9132251739502
PlausibleSimFix,Closure-115,26,3731,123357.93296217918,None,5087.343001916014
PlausibleSimFix,Closure-14,14,1545,101639.14656448364,None,322.85564091672245
PlausibleSimFix,Closure-57,11,1927,80951.60076498985,None,376.7332714910889
PlausibleSimFix,Closure-62,16,2096,62710.90269827843,None,310.67846362719206
PlausibleSimFix,Closure-73,29,2549,94659.36104822159,None,825.8809426034679
PlausibleSimFix,Lang-16,102,5585,35501.12479710579,5693.7753991306645,1066.7195905529882
PlausibleSimFix,Lang-27,66,4668,30469.911082029343,5685.530861919509,710.5934753930437
PlausibleSimFix,Lang-33,80,2861,15418.122003793716,3413.028408680735,587.2135645263785
PlausibleSimFix,Lang-39,59,4978,36305.93331694603,7794.665385276315,683.734977567809
PlausibleSimFix,Lang-41,17,6336,26870.689241170883,5425.861060657501,229.99735711082107
PlausibleSimFix,Lang-43,79,2674,85103.36298060417,37731.122334527216,3834.668793736764
PlausibleSimFix,Lang-50,100,4772,25614.925292491913,4775.687228930583,801.934024734683
PlausibleSimFix,Lang-58,75,3876,17334.296903848648,3516.797063306949,560.11197695782
PlausibleSimFix,Lang-60,32,6379,40261.91436624527,6342.944379260012,349.41164443978715
PlausibleSimFix,Math-33,37,3956,67436.32801675797,4356.432831634153,372.5346414719252
PlausibleSimFix,Math-35,44,3732,54447.6755065918,2802.407701034971,364.88345386556676
PlausibleSimFix,Math-41,74,3780,70411.23472070694,8291.14279101451,491.9750648294935
PlausibleSimFix,Math-5,66,2187,219867.52190804482,2283.730219152035,536.2403816922646
PlausibleSimFix,Math-50,85,3078,186210.51900410652,3410.3337053345795,672.0960579744652
PlausibleSimFix,Math-53,47,3898,114286.95256090164,3885.7615322241136,350.26178276466817
PlausibleSimFix,Math-57,68,4363,52165.56027054787,4967.024674859186,454.42603535192546
PlausibleSimFix,Math-59,72,3579,180705.31248617172,4601.868097421638,1531.8676450468654
PlausibleSimFix,Math-63,28,3482,59194.622262477875,3137.2382462081914,289.7856602828608
