filename,category,n_patch,n_stof,n_ftos
PlausibleRecoder/patches-out/Math/94/prepend-MathUtils.java-431--bc8480602f240e1.json,succ,20,0,0
PlausibleRecoder/patches-out/Time/7/prepend-DateTimeParserBucket.java-358--595c1e84887c251.json,succ,13,0,0
PlausibleRecoder/patches-out/Closure/46/modify-PrototypeObjectType.java-374-14aec30f9ac2ab88.json,succ,40,0,0
PlausibleRecoder/patches-out/Math/33/prepend-SimplexTableau.java-332--18added749cf7516.json,succ,22,0,0
PlausibleRecoder/patches-out/Closure/86/modify-PureFunctionIdentifier.java-161-64bf9c374e8ebee0.json,succ,7,0,0
PlausibleRecoder/patches-out/Math/41/prepend-AbstractUnivariateStatistic.java-282-61574a2c9358a831.json,succ,19,0,0
PlausibleRecoder/patches-out/Closure/21/prepend-CheckSideEffects.java-163--74e2ffc9cad8cedf.json,succ,52,0,0
PlausibleRecoder/patches-out/Closure/118/prepend-JSTypeRegistry.java-1420--a002499a9c0ca5b.json,succ,14,0,0
PlausibleRecoder/patches-out/Math/30/modify-MannWhitneyUTest.java-129--4a85a982de8e9902.json,succ,26,0,0
PlausibleRecoder/patches-out/Closure/73/modify-CodeGenerator.java-1034-626e6933dc6d6221.json,succ,23,0,0
PlausibleRecoder/patches-out/Closure/46/prepend-RecordType.java-164-1702578192587cf7.json,succ,5,0,0
PlausibleRecoder/patches-out/Chart/9/modify-Day.java-183--3d0372eba1e833c.json,succ,31,0,0
PlausibleRecoder/patches-out/Math/5/modify-Complex.java-123-691da9cda517b24e.json,succ,33,0,0
PlausibleRecoder/patches-out/Chart/8/modify-Week.java-289--7eb5f940a4dd5f90.json,succ,30,0,0
PlausibleRecoder/patches-out/Mockito/38/modify-ArgumentMatchingTool.java-21-7687cddfe5b4e0b5.json,succ,33,0,0
PlausibleRecoder/patches-out/Math/98/prepend-BigMatrixImpl.java-992--7d152505d03de482.json,succ,6,0,0
PlausibleRecoder/patches-out/Math/30/prepend-MannWhitneyUTest.java-176--4a85a982de8e9902.json,succ,2,0,0
PlausibleRecoder/patches-out/Lang/59/prepend-StrBuilder.java-228--1eab702a75f3433f.json,succ,26,0,0
PlausibleRecoder/patches-out/Lang/38/modify-FastDateFormat.java-1431-543fba37af5538b2.json,succ,33,0,0
PlausibleRecoder/patches-out/Chart/1/prepend-CategoryPlot.java-1613--20830df6a1e3a3d2.json,succ,15,0,0
PlausibleRecoder/patches-out/Chart/9/modify-Day.java-423--3d0372eba1e833c.json,succ,9,0,0
PlausibleRecoder/patches-out/Math/65/prepend-LUDecompositionImpl.java-387-53d6dce3e1685574.json,succ,10,0,0
PlausibleRecoder/patches-out/Lang/26/modify-FastDateFormat.java-1164--5f805231ae9d0d60.json,succ,13,0,0
PlausibleRecoder/patches-out/Closure/57/prepend-ComposeWarningsGuard.java-121-1e1b09b7545d64e9.json,succ,20,0,0
PlausibleRecoder/patches-out/Math/50/prepend-BaseAbstractUnivariateRealSolver.java-195--67c461ee9127787c.json,succ,10,0,0
PlausibleRecoder/patches-out/Math/70/modify-BisectionSolver.java-66--30d7bc71a5a1c39f.json,succ,34,0,0
PlausibleRecoder/patches-out/Lang/26/prepend-FastDateFormat.java-645--5f805231ae9d0d60.json,succ,4,0,0
PlausibleRecoder/patches-out/Chart/9/prepend-SpreadsheetDate.java-308-b83b8bea0f7264d.json,succ,9,0,0
PlausibleRecoder/patches-out/Mockito/29/modify-Same.java-28-58b06cb711ab62f4.json,succ,16,0,0
PlausibleRecoder/patches-out/Math/34/modify-JDKRandomGenerator.java-35--25edd2ff60a8b12.json,succ,16,0,0
PlausibleRecoder/patches-out/Chart/3/modify-Year.java-212-72edec287cd5fd5.json,succ,31,0,0
PlausibleRecoder/patches-out/Closure/115/modify-RenameLabels.java-203--1a169863a721e99c.json,succ,21,0,0
PlausibleRecoder/patches-out/Math/33/modify-SimplexTableau.java-346--18added749cf7516.json,succ,41,0,0
PlausibleRecoder/patches-out/Math/94/prepend-MathUtils.java-81--bc8480602f240e1.json,succ,17,0,0
PlausibleRecoder/patches-out/Closure/21/modify-CheckSideEffects.java-135--74e2ffc9cad8cedf.json,succ,2,0,0
PlausibleRecoder/patches-out/Closure/92/prepend-Node.java-1369-69ac42bc60d7b2b6.json,succ,55,0,0
PlausibleRecoder/patches-out/Time/7/modify-IllegalFieldValueException.java-314-1548e18b72b54a92.json,succ,30,0,0
PlausibleRecoder/patches-out/Chart/1/modify-CategoryPlot.java-1673--20830df6a1e3a3d2.json,succ,82,0,0
PlausibleRecoder/patches-out/Chart/26/modify-CategoryAxis.java-1027-279571640e89635.json,succ,24,0,0
PlausibleRecoder/patches-out/Math/33/modify-SimplexTableau.java-199--18added749cf7516.json,succ,53,0,0
PlausibleRecoder/patches-out/Mockito/29/modify-InvocationMatcher.java-87--affbf4943816d1c.json,succ,40,0,0
PlausibleRecoder/patches-out/Math/65/prepend-LUDecompositionImpl.java-377-53d6dce3e1685574.json,succ,3,0,0
PlausibleRecoder/patches-out/Closure/46/prepend-PrototypeObjectType.java-258-14aec30f9ac2ab88.json,succ,34,0,0
PlausibleRecoder/patches-out/Chart/26/modify-CategoryAxis.java-756-279571640e89635.json,succ,21,0,0
PlausibleRecoder/patches-out/Lang/38/modify-FastDateFormat.java-875-543fba37af5538b2.json,succ,24,0,0
PlausibleRecoder/patches-out/Lang/51/modify-BooleanUtils.java-677-62700d0be2a1119a.json,succ,42,0,0
PlausibleRecoder/patches-out/Chart/9/prepend-SpreadsheetDate.java-211-b83b8bea0f7264d.json,succ,18,0,0
PlausibleRecoder/patches-out/Lang/6/prepend-StringEscapeUtils.java-167--23db5f2ed7a0a339.json,succ,12,0,0
PlausibleRecoder/patches-out/Math/41/prepend-Variance.java-516-60ff2ff5bc9d32dc.json,succ,25,0,0
PlausibleRecoder/patches-out/Closure/92/prepend-Node.java-844-69ac42bc60d7b2b6.json,succ,86,0,0
PlausibleRecoder/patches-out/Lang/59/prepend-StrTokenizer.java-289-138ee55d5949fcfa.json,succ,55,0,0
PlausibleRecoder/patches-out/Closure/62/modify-LightweightMessageFormatter.java-75-22df1ccad3f80bbb.json,succ,24,0,0
PlausibleRecoder/patches-out/Time/7/modify-DateTimeParserBucket.java-374--595c1e84887c251.json,succ,19,0,0
PlausibleRecoder/patches-out/Mockito/38/modify-Equals.java-32-3105623117a329e2.json,succ,28,0,0
PlausibleRecoder/patches-out/Lang/59/prepend-StrBuilder.java-233--1eab702a75f3433f.json,succ,78,0,0
PlausibleRecoder/patches-out/Closure/57/prepend-Compiler.java-1326-3a19facbe3f55dae.json,succ,40,0,0
PlausibleRecoder/patches-out/Lang/38/modify-FastDateFormat.java-182-543fba37af5538b2.json,succ,41,0,0
PlausibleRecoder/patches-out/Math/98/modify-BigMatrixImpl.java-146--7d152505d03de482.json,succ,48,0,0
PlausibleRecoder/patches-out/Closure/7/prepend-ChainableReverseAbstractInterpreter.java-388--5f97a6c4f704451b.json,succ,55,0,0
PlausibleRecoder/patches-out/Lang/59/modify-StrTokenizer.java-242-138ee55d5949fcfa.json,succ,12,0,0
PlausibleRecoder/patches-out/Time/4/modify-Partial.java-459--40fc563d31b26214.json,succ,23,0,0
PlausibleRecoder/patches-out/Time/4/prepend-ZeroIsMaxDateTimeField.java-111-3ba260d3adb557b0.json,succ,7,0,0
PlausibleRecoder/patches-out/Math/30/prepend-FastMath.java-3535-45dd5846292fe07.json,succ,2,0,0
PlausibleRecoder/patches-out/Math/96/prepend-Complex.java-152-7f54cee1c9097990.json,succ,1,0,0
PlausibleRecoder/patches-out/Math/5/modify-Complex.java-159-691da9cda517b24e.json,succ,53,0,0
PlausibleRecoder/patches-out/Closure/33/prepend-JsDocInfoParser.java-2107--3c244865a90bb0a7.json,succ,21,0,0
PlausibleRecoder/patches-out/Closure/46/prepend-RecordType.java-241-1702578192587cf7.json,succ,50,0,0
PlausibleRecoder/patches-out/Closure/46/modify-PrototypeObjectType.java-258-14aec30f9ac2ab88.json,succ,37,0,0
PlausibleRecoder/patches-out/Chart/9/prepend-Day.java-183--3d0372eba1e833c.json,succ,36,0,0
PlausibleRecoder/patches-out/Math/70/prepend-BisectionSolver.java-87--30d7bc71a5a1c39f.json,succ,6,0,0
PlausibleRecoder/patches-out/Chart/1/modify-CategoryPlot.java-1613--20830df6a1e3a3d2.json,succ,113,0,0
PlausibleRecoder/patches-out/Math/96/prepend-Complex.java-110-7f54cee1c9097990.json,succ,13,0,0
PlausibleRecoder/patches-out/Chart/24/prepend-GrayPaintScale.java-124--136f5cc48da64347.json,succ,14,0,0
PlausibleRecoder/patches-out/Closure/86/prepend-PureFunctionIdentifier.java-448-64bf9c374e8ebee0.json,succ,13,0,0
PlausibleRecoder/patches-out/Lang/38/modify-FastDateFormat.java-633-543fba37af5538b2.json,succ,43,0,0
PlausibleRecoder/patches-out/Math/94/prepend-MathUtils.java-421--bc8480602f240e1.json,succ,12,0,0
PlausibleRecoder/patches-out/Lang/33/modify-ClassUtils.java-910-4767b5889c11a7a3.json,succ,72,0,0
PlausibleRecoder/patches-out/Math/96/prepend-Complex.java-92-7f54cee1c9097990.json,succ,9,0,0
PlausibleRecoder/patches-out/Lang/55/prepend-StopWatch.java-104--2594588a14e81dbd.json,succ,45,0,0
PlausibleRecoder/patches-out/Closure/57/prepend-Compiler.java-1330-3a19facbe3f55dae.json,succ,33,0,0
PlausibleRecoder/patches-out/Math/27/prepend-Fraction.java-261--240fe28e554a4450.json,succ,18,0,0
PlausibleRecoder/patches-out/Math/33/prepend-SimplexTableau.java-355--18added749cf7516.json,succ,42,0,0
PlausibleRecoder/patches-out/Closure/46/prepend-RecordType.java-229-1702578192587cf7.json,succ,3,0,0
PlausibleRecoder/patches-out/Math/33/prepend-SimplexTableau.java-361--18added749cf7516.json,succ,1,0,0
PlausibleRecoder/patches-out/Mockito/29/prepend-InvocationsFinder.java-67--5ed93ae6059bfc7a.json,succ,5,0,0
PlausibleRecoder/patches-out/Math/98/modify-BigMatrixImpl.java-947--7d152505d03de482.json,succ,27,0,0
PlausibleRecoder/patches-out/Math/33/prepend-SimplexTableau.java-300--18added749cf7516.json,succ,19,0,0
PlausibleRecoder/patches-out/Closure/86/modify-PureFunctionIdentifier.java-358-64bf9c374e8ebee0.json,succ,53,0,0
PlausibleRecoder/patches-out/Closure/92/modify-Node.java-1063-69ac42bc60d7b2b6.json,succ,31,0,0
PlausibleRecoder/patches-out/Closure/46/prepend-RecordType.java-146-1702578192587cf7.json,succ,5,0,0
PlausibleRecoder/patches-out/Math/34/prepend-BinaryChromosome.java-58-4367bc9591a78378.json,succ,24,0,0
PlausibleRecoder/patches-out/Closure/62/prepend-LightweightMessageFormatter.java-122-22df1ccad3f80bbb.json,succ,9,0,0
PlausibleRecoder/patches-out/Closure/73/modify-Compiler.java-1247-3a19facbe3f55dae.json,succ,30,0,0
PlausibleRecoder/patches-out/Closure/2/prepend-TypeCheck.java-1658--6449e67532e60733.json,succ,10,0,0
PlausibleRecoder/patches-out/Math/33/prepend-SimplexTableau.java-362--18added749cf7516.json,succ,4,0,0
PlausibleRecoder/patches-out/Closure/21/modify-NodeUtil.java-3124-2730dc1cee90a2f4.json,succ,820,0,0
PlausibleRecoder/patches-out/Lang/6/modify-StringUtils.java-1737--b088709920c3e78.json,succ,47,0,0
PlausibleRecoder/patches-out/Time/7/modify-DateTimeFormatter.java-702-67b2c685c7553d7c.json,succ,41,0,0
PlausibleRecoder/patches-out/Math/30/prepend-FastMath.java-3539-45dd5846292fe07.json,succ,9,0,0
PlausibleRecoder/patches-out/Closure/109/prepend-JsDocInfoParser.java-2001--3c244865a90bb0a7.json,succ,26,0,0
PlausibleRecoder/patches-out/Closure/86/prepend-PureFunctionIdentifier.java-553-64bf9c374e8ebee0.json,succ,74,0,0
PlausibleRecoder/patches-out/Lang/38/modify-FastDateFormat.java-1292-543fba37af5538b2.json,succ,23,0,0
PlausibleRecoder/patches-out/Chart/8/modify-Week.java-133--7eb5f940a4dd5f90.json,succ,16,0,0
PlausibleRecoder/patches-out/Chart/3/modify-TimeSeries.java-1062--1d1172639f3a7ef9.json,succ,22,0,0
PlausibleRecoder/patches-out/Closure/73/modify-CodeGenerator.java-952-626e6933dc6d6221.json,succ,39,0,0
PlausibleRecoder/patches-out/Chart/26/prepend-AxisState.java-193-6d44c53d103dafef.json,succ,13,0,0
PlausibleRecoder/patches-out/Closure/92/prepend-ProcessClosurePrimitives.java-887--2eb9a2db65b23020.json,succ,110,0,0
PlausibleRecoder/patches-out/Math/98/modify-BigMatrixImpl.java-992--7d152505d03de482.json,succ,27,0,0
PlausibleRecoder/patches-out/Math/30/modify-NaturalRanking.java-433--2ba13d6edc87279c.json,succ,14,0,0
PlausibleRecoder/patches-out/Closure/7/prepend-JSType.java-532-800eef9be7acd1d.json,succ,3,0,0
PlausibleRecoder/patches-out/Mockito/29/prepend-Same.java-29-58b06cb711ab62f4.json,succ,9,0,0
