apr,step,technique,time
SampleRecoder,preptime,JavaC,15.259256362915039
SampleRecoder,preptime,JavaC,34.51874089241028
SampleRecoder,preptime,JavaC,4.017931222915649
SampleRecoder,preptime,JavaC,38.024317264556885
SampleRecoder,preptime,JavaC,26.658461093902588
SampleRecoder,preptime,JavaC,5.71150279045105
SampleRecoder,preptime,JavaC,11.980976343154907
SampleRecoder,preptime,JavaC,10.260518789291382
SampleRecoder,preptime,JavaC,39.71016526222229
SampleRecoder,preptime,JavaC,39.77584934234619
SampleRecoder,preptime,JavaC,25.99589514732361
SampleRecoder,preptime,JavaC,38.48362684249878
SampleRecoder,preptime,JavaC,19.88263988494873
SampleRecoder,preptime,JavaC,32.88598966598511
SampleRecoder,preptime,JavaC,35.39173340797424
SampleRecoder,preptime,JavaC,26.78456211090088
SampleRecoder,preptime,JavaC,12.701061248779297
SampleRecoder,preptime,JavaC,23.515597581863403
SampleRecoder,preptime,JavaC,3.8825528621673584
SampleRecoder,preptime,JavaC,33.95145082473755
SampleRecoder,preptime,JavaC,17.63639521598816
SampleRecoder,preptime,JavaC,25.798383235931396
SampleRecoder,preptime,JavaC,20.43711233139038
SampleRecoder,preptime,JavaC,7.753848314285278
SampleRecoder,preptime,JavaC,34.96078562736511
SampleRecoder,preptime,JavaC,32.18595814704895
SampleRecoder,preptime,JavaC,30.574229955673218
SampleRecoder,preptime,JavaC,4.086062669754028
SampleRecoder,preptime,JavaC,10.253689765930176
SampleRecoder,preptime,JavaC,9.424832344055176
SampleRecoder,preptime,JavaC,24.63806986808777
SampleRecoder,preptime,JavaC,26.15662956237793
SampleRecoder,preptime,JavaC,14.735729694366455
SampleRecoder,preptime,JavaC,40.33545923233032
SampleRecoder,preptime,JavaC,2.746297836303711
SampleRecoder,preptime,JavaC,34.640186071395874
SampleRecoder,preptime,JavaC,27.680593252182007
SampleRecoder,preptime,JavaC,3.77036714553833
SampleRecoder,preptime,JavaC,8.758444786071777
SampleRecoder,preptime,JavaC,10.477699995040894
SampleRecoder,preptime,JavaC,14.905202627182007
SampleRecoder,preptime,JavaC,33.348716020584106
SampleRecoder,preptime,JavaC,16.492176055908203
SampleRecoder,preptime,JavaC,3.8956894874572754
SampleRecoder,preptime,JavaC,4.904766321182251
SampleRecoder,preptime,JavaC,8.516456842422485
SampleRecoder,preptime,JavaC,14.251073360443115
SampleRecoder,preptime,JavaC,10.886663436889648
SampleRecoder,preptime,JavaC,19.29366660118103
SampleRecoder,preptime,JavaC,5.050917625427246
SampleRecoder,preptime,JavaC,36.3194305896759
SampleRecoder,preptime,JavaC,29.5507493019104
SampleRecoder,preptime,JavaC,7.601931571960449
SampleRecoder,preptime,JavaC,24.1961190700531
SampleRecoder,preptime,JavaC,29.604886293411255
SampleRecoder,preptime,JavaC,13.809897422790527
SampleRecoder,preptime,JavaC,6.161380052566528
SampleRecoder,preptime,JavaC,8.902056694030762
SampleRecoder,preptime,JavaC,5.71195650100708
SampleRecoder,preptime,JavaC,3.0965607166290283
SampleRecoder,preptime,JavaC,15.226150512695312
SampleRecoder,preptime,JavaC,32.05815649032593
SampleRecoder,preptime,JavaC,26.117777347564697
SampleRecoder,preptime,JavaC,0.8568391799926758
SampleRecoder,preptime,JavaC,14.780991792678833
SampleRecoder,preptime,JavaC,6.268442630767822
SampleRecoder,preptime,JavaC,17.45300555229187
SampleRecoder,preptime,JavaC,21.198405742645264
SampleRecoder,preptime,JavaC,6.8080174922943115
SampleRecoder,preptime,JavaC,38.512919902801514
SampleRecoder,preptime,JavaC,10.320204496383667
SampleRecoder,preptime,JavaC,7.772286653518677
SampleRecoder,preptime,JavaC,7.13927435874939
SampleRecoder,preptime,JavaC,11.410293102264404
SampleRecoder,preptime,JavaC,19.59093689918518
SampleRecoder,preptime,JavaC,9.244382619857788
SampleRecoder,preptime,JavaC,10.137751340866089
SampleRecoder,preptime,JavaC,17.178531408309937
SampleRecoder,preptime,JavaC,15.492609739303589
SampleRecoder,preptime,JavaC,14.11565375328064
SampleRecoder,preptime,JavaC,31.593931198120117
SampleRecoder,preptime,JavaC,15.28153944015503
SampleRecoder,preptime,JavaC,8.28905963897705
SampleRecoder,preptime,JavaC,7.789414405822754
SampleRecoder,preptime,JavaC,9.638943672180176
SampleRecoder,preptime,JavaC,16.306369066238403
SampleRecoder,preptime,JavaC,24.826502323150635
SampleRecoder,preptime,JavaC,21.900728702545166
SampleRecoder,preptime,JavaC,1.1914050579071045
SampleRecoder,preptime,JavaC,7.152171611785889
SampleRecoder,preptime,JavaC,6.931313753128052
SampleRecoder,preptime,JavaC,16.151760816574097
SampleRecoder,preptime,JavaC,15.686169624328613
SampleRecoder,preptime,JavaC,7.908957481384277
SampleRecoder,preptime,JavaC,1.0142314434051514
SampleRecoder,preptime,JavaC,27.61577534675598
SampleRecoder,preptime,JavaC,5.329519510269165
SampleRecoder,preptime,JavaC,16.982642650604248
SampleRecoder,preptime,JavaC,6.572169542312622
SampleRecoder,preptime,JavaC,33.350868701934814
SampleRecoder,preptime,JavaC,21.932225704193115
SampleRecoder,preptime,JavaC,34.68851590156555
SampleRecoder,preptime,JavaC,21.864506483078003
SampleRecoder,preptime,JavaC,28.991644859313965
SampleRecoder,preptime,JavaC,6.630940675735474
SampleRecoder,preptime,JavaC,10.919260025024414
SampleRecoder,preptime,JavaC,17.654440879821777
SampleRecoder,preptime,JavaC,26.366211414337158
SampleRecoder,preptime,JavaC,6.608729124069214
SampleRecoder,preptime,JavaC,23.827778339385986
SampleRecoder,preptime,JavaC,16.37244939804077
SampleRecoder,preptime,JavaC,23.562179803848267
SampleRecoder,preptime,JavaC,33.70025968551636
SampleRecoder,preptime,JavaC,4.52629828453064
SampleRecoder,preptime,JavaC,29.36041569709778
SampleRecoder,preptime,JavaC,14.209460973739624
SampleRecoder,preptime,JavaC,23.308985471725464
SampleRecoder,preptime,JavaC,8.243829488754272
SampleRecoder,preptime,JavaC,29.89867377281189
SampleRecoder,preptime,JavaC,9.486209630966187
SampleRecoder,preptime,JavaC,10.922905445098877
SampleRecoder,preptime,JavaC,7.356550931930542
SampleRecoder,preptime,JavaC,6.69190239906311
SampleRecoder,preptime,JavaC,23.76843237876892
SampleRecoder,preptime,JavaC,40.7530403137207
SampleRecoder,preptime,JavaC,3.7582597732543945
SampleRecoder,preptime,JavaC,28.944955587387085
SampleRecoder,preptime,JavaC,5.978483200073242
SampleRecoder,preptime,JavaC,40.438350439071655
SampleRecoder,preptime,JavaC,20.052517890930176
SampleRecoder,preptime,JavaC,7.043881177902222
SampleRecoder,preptime,JavaC,28.852562189102173
SampleRecoder,preptime,JavaC,1.0586559772491455
SampleRecoder,preptime,JavaC,7.9951488971710205
SampleRecoder,preptime,JavaC,19.181475162506104
SampleRecoder,preptime,JavaC,14.638398170471191
SampleRecoder,preptime,JavaC,44.187466621398926
SampleRecoder,preptime,JavaC,5.83791971206665
SampleRecoder,preptime,JavaC,24.107983350753784
SampleRecoder,preptime,JavaC,17.209990739822388
SampleRecoder,preptime,JavaC,4.641084432601929
SampleRecoder,preptime,JavaC,33.0963294506073
SampleRecoder,preptime,JavaC,23.23958969116211
SampleRecoder,preptime,JavaC,23.061177730560303
SampleRecoder,preptime,JavaC,22.963932037353516
SampleRecoder,preptime,JavaC,25.734081506729126
SampleRecoder,preptime,JavaC,19.02891707420349
SampleRecoder,preptime,JavaC,17.726683378219604
SampleRecoder,preptime,JavaC,25.78847622871399
SampleRecoder,preptime,JavaC,6.571499824523926
SampleRecoder,preptime,JavaC,6.543568134307861
SampleRecoder,preptime,JavaC,7.150441646575928
SampleRecoder,preptime,JavaC,16.98104238510132
SampleRecoder,preptime,JavaC,15.472630262374878
SampleRecoder,preptime,JavaC,5.302718162536621
SampleRecoder,preptime,JavaC,39.609699010849
SampleRecoder,preptime,JavaC,20.324784755706787
SampleRecoder,preptime,JavaC,57.78024935722351
SampleRecoder,preptime,JavaC,13.610657453536987
SampleRecoder,preptime,JavaC,18.594152212142944
SampleRecoder,preptime,JavaC,22.266804695129395
SampleRecoder,preptime,JavaC,25.021783590316772
SampleRecoder,preptime,JavaC,30.74015784263611
SampleRecoder,preptime,JavaC,15.244016885757446
SampleRecoder,preptime,JavaC,19.490861654281616
SampleRecoder,preptime,JavaC,25.979251623153687
SampleRecoder,preptime,JavaC,4.056337594985962
SampleRecoder,preptime,JavaC,27.664621114730835
SampleRecoder,preptime,JavaC,13.08289122581482
SampleRecoder,preptime,JavaC,37.921175479888916
SampleRecoder,preptime,JavaC,28.768391132354736
SampleRecoder,preptime,JavaC,36.22553014755249
SampleRecoder,preptime,JavaC,20.446194410324097
SampleRecoder,preptime,JavaC,9.792988300323486
SampleRecoder,preptime,JavaC,9.136420488357544
SampleRecoder,preptime,JavaC,2.44743275642395
SampleRecoder,preptime,JavaC,13.256065607070923
SampleRecoder,preptime,JavaC,12.792655944824219
SampleRecoder,preptime,JavaC,3.2978761196136475
SampleRecoder,preptime,JavaC,22.376692056655884
SampleRecoder,preptime,JavaC,30.91190528869629
SampleRecoder,preptime,JavaC,14.617501974105835
SampleRecoder,preptime,JavaC,18.287691116333008
